,year,state,month,number
0,1998,Acre,Janeiro,0
1,1999,Acre,Janeiro,0
2,2000,Acre,Janeiro,0
3,2001,Acre,Janeiro,0
4,2002,Acre,Janeiro,0
5,2003,Acre,Janeiro,10
6,2004,Acre,Janeiro,0
7,2005,Acre,Janeiro,12
8,2006,Acre,Janeiro,4
9,2007,Acre,Janeiro,0
10,2008,Acre,Janeiro,0
11,2009,Acre,Janeiro,0
12,2010,Acre,Janeiro,1
13,2011,Acre,Janeiro,0
14,2012,Acre,Janeiro,0
15,2013,Acre,Janeiro,0
16,2014,Acre,Janeiro,0
17,2015,Acre,Janeiro,1
18,2016,Acre,Janeiro,12
19,2017,Acre,Janeiro,0
20,1998,Acre,Fevereiro,0
21,1999,Acre,Fevereiro,0
22,2000,Acre,Fevereiro,0
23,2001,Acre,Fevereiro,0
24,2002,Acre,Fevereiro,1
25,2003,Acre,Fevereiro,0
26,2004,Acre,Fevereiro,3
27,2005,Acre,Fevereiro,0
28,2006,Acre,Fevereiro,0
29,2007,Acre,Fevereiro,5
30,2008,Acre,Fevereiro,0
31,2009,Acre,Fevereiro,2
32,2010,Acre,Fevereiro,0
33,2011,Acre,Fevereiro,0
34,2012,Acre,Fevereiro,0
35,2013,Acre,Fevereiro,0
36,2014,Acre,Fevereiro,0
37,2015,Acre,Fevereiro,2
38,2016,Acre,Fevereiro,5
39,2017,Acre,Fevereiro,1
40,1998,Acre,Março,0
41,1999,Acre,Março,0
42,2000,Acre,Março,11
43,2001,Acre,Março,0
44,2002,Acre,Março,0
45,2003,Acre,Março,0
46,2004,Acre,Março,0
47,2005,Acre,Março,3
48,2006,Acre,Março,0
49,2007,Acre,Março,2
50,2008,Acre,Março,0
51,2009,Acre,Março,1
52,2010,Acre,Março,0
53,2011,Acre,Março,0
54,2012,Acre,Março,1
55,2013,Acre,Março,2
56,2014,Acre,Março,1
57,2015,Acre,Março,2
58,2016,Acre,Março,0
59,2017,Acre,Março,0
60,1998,Acre,Abril,0
61,1999,Acre,Abril,0
62,2000,Acre,Abril,1
63,2001,Acre,Abril,0
64,2002,Acre,Abril,0
65,2003,Acre,Abril,1
66,2004,Acre,Abril,2
